stock_code,date,price,wisdom_buy,wisdom_sell,smart_money_signal,ma5,ma10,ma20,volume_ratio,combined_signal,stock_name
bj430017,2025-07-09,23.21,0,0,0,23.701999999999998,23.008,22.791999999999998,0.6203959490724706,hold,星昊医药
bj430047,2025-07-09,22.14,0,0,0,22.636000000000003,22.104999999999997,21.37,0.6477675636994751,hold,诺思兰德
bj430090,2025-07-09,10.24,0,0,0,10.734,10.865,9.494499999999999,0.8551859850018071,hold,同辉信息
bj430139,2025-07-09,25.35,0,0,0,25.712,26.274,25.330499999999997,0.565263336474253,hold,华岭股份
bj430198,2025-07-09,13.34,0,0,0,13.478,13.654000000000002,13.6965,0.6668803227697782,hold,微创光电
bj430300,2025-07-09,18.68,0,0,0,19.148,19.231,19.205499999999997,0.8971962949198293,hold,辰光医疗
bj430418,2025-07-09,29.3,0,0,0,29.128000000000004,29.55,29.609999999999996,1.2898529717602425,hold,苏轴股份
bj430425,2025-07-09,23.88,0,0,0,24.368000000000002,24.961,24.991,0.6972561736093789,hold,乐创技术
bj430476,2025-07-09,18.25,0,0,0,18.856,18.654000000000003,18.3145,1.424972198252989,hold,海能技术
bj430478,2025-07-09,20.79,0,0,0,20.79,21.029,21.1955,0.6772872197488543,hold,峆一药业
